Date_Time,Author,Title,URL
26 октября 11:28,Артём Андриянов,"«Это единичные случаи, на «Спартаке» очень дружественная атмосфера». Вице‑президент КХЛ — о кричалках болельщиков в адрес СКА",https://matchtv.ru/hockey/matchtvnews_NI2125056_Eto_jedinichnyje_sluchai_na_Spartake_ochen_druzhestvennaja_atmosfera_Viceprezident_KKhL__o_krichalkah_bolelshhikov_v_adres_SKA
26 октября 11:04,Артём Андриянов,КХЛ изучит кричалки фанатов «Спартака» в адрес СКА и примет меры — пресс‑служба лиги,https://matchtv.ru/hockey/matchtvnews_NI2125041_KKhL_izuchit_krichalki_fanatov_Spartaka_v_adres_SKA_i_primet_mery__presssluzhba_ligi
26 октября 10:23,Артём Андриянов,КХЛ рассмотрит поведение болельщиков «Спартака» на матче против СКА — Медведев,https://matchtv.ru/hockey/matchtvnews_NI2125034_KKhL_rassmotrit_povedenije_bolelshhikov_Spartaka_na_matche_protiv_SKA__Medvedev
25 октября 23:59,Степан Карпухин,«Мы прорубили окно в Европу и сыграем несмотря ни на что» — Ротенберг о хоккейном турнире в Турции,https://matchtv.ru/hockey/matchtvnews_NI2124987_My_prorubili_okno_v_Jevropu_i_sygrajem_nesmotra_ni_na_chto__Rotenberg_o_khokkejnom_turnire_v_Turcii
25 октября 23:15,Степан Карпухин,"Евгений Кузнецов об НХЛ: «Завидую Ване Демидову. Он не понимает, куда поедет — там арены на 23 тысячи мест, у людей даже телефоны выключены»",https://matchtv.ru/hockey/matchtvnews_NI2124968_Jevgenij_Kuznecov_ob_NKhL_Zaviduju_Vane_Demidovu_On_ne_ponimajet_kuda_pojedet__tam_areny_na_23_tysachi_mest_u_ludej_dazhe_telefony_vyklucheny
25 октября 22:53,Степан Карпухин,"«Игра у Голдобина не получилась, но он сам все понимает» — главный тренер «Спартака» Жамнов о матче против СКА",https://matchtv.ru/hockey/matchtvnews_NI2124963_Igra_u_Goldobina_ne_poluchilas_no_on_sam_vse_ponimajet__glavnyj_trener_Spartaka_Zhamnov_o_matche_protiv_SKA
25 октября 22:52,Степан Карпухин,"Тренер «Спартака» Жамнов — о поражении от СКА: «Команда не может побеждать, когда из пятерки выпадают два‑три игрока»",https://matchtv.ru/hockey/matchtvnews_NI2124961_Trener_Spartaka_Zhamnov__o_porazhenii_ot_SKA_Komanda_ne_mozhet_pobezhdat_kogda_iz_paterki_vypadajut_dvatri_igroka
25 октября 22:44,Степан Карпухин,Тренер СКА Ротенберг — о вратарях команды: «Хочу вас успокоить: играть будут все»,https://matchtv.ru/hockey/matchtvnews_NI2124956_Trener_SKA_Rotenberg__o_vratarah_komandy_Khochu_vas_uspokoit_igrat_budut_vse
25 октября 22:33,Сергей Астахов,"Тренер ЦСКА: «Команда строится. Чудес не бывает, когда меняешь 9 человек. Нужно время, понимаю, что у меня его не особо много»",https://matchtv.ru/hockey/matchtvnews_NI2124954_Trener_CSKA_Komanda_stroitsa_Chudes_ne_byvajet_kogda_menajesh_9_chelovek_Nuzhno_vrema_ponimaju_chto_u_mena_jego_ne_osobo_mnogo
25 октября 22:31,Степан Карпухин,"«Понимали, что будет игра кость в кость» — главный тренер СКА Ротенберг о матче со «Спартаком»",https://matchtv.ru/hockey/matchtvnews_NI2124953_Ponimali_chto_budet_igra_kost_v_kost__glavnyj_trener_SKA_Rotenberg_o_matche_so_Spartakom
25 октября 22:20,Автор не известен,"Ротенберг — о кричалке болельщиков «Спартака» в матче против СКА: «Когда матом орут всю игру, лига должна вмешиваться. Нам нужны адекватные болельщики»",https://matchtv.ru/hockey/matchtvnews_NI2124948_Rotenberg__o_krichalke_bolelshhikov_Spartaka_v_matche_protiv_SKA_Kogda_matom_orut_vsu_igru_liga_dolzhna_vmeshivatsa_Nam_nuzhny_adekvatnyje_bolelshhiki
25 октября 22:16,Сергей Астахов,"«Не всем легионерам удается проявить себя в КХЛ, не хотим в спешке брать кого‑то» — тренер «Ак Барса»",https://matchtv.ru/hockey/matchtvnews_NI2124947_Ne_vsem_legioneram_udajetsa_projavit_seba_v_KKhL_ne_khotim_v_speshke_brat_kogoto__trener_Ak_Barsa
25 октября 22:00,Сергей Астахов,"«Радулов за 12 секунд до конца отработал так, что любому молодому даст фору» — тренер «Амура»",https://matchtv.ru/hockey/matchtvnews_NI2124930_Radulov_za_12_sekund_do_konca_otrabotal_tak_chto_lubomu_molodomu_dast_foru__trener_Amura
25 октября 21:53,Сергей Астахов,"Тренер «Амура»: «За два матча в графе забитых голов — 0, пропущенных — 12. Нам деваться некуда, нужна победа»",https://matchtv.ru/hockey/matchtvnews_NI2124928_Trener_Amura_Za_dva_matcha_v_grafe_zabityh_golov__0_propushhennyh__12_Nam_devatsa_nekuda_nuzhna_pobeda
25 октября 21:46,Сергей Астахов,«Блокированные броски — самая бестолковая статистка» — тренер «Адмирала» после поражения от «Ак Барса»,https://matchtv.ru/hockey/matchtvnews_NI2124927_Blokirovannyje_broski__samaja_bestolkovaja_statistka__trener_Admirala_posle_porazhenija_ot_Ak_Barsa
25 октября 20:58,Сергей Астахов,Тренер «Лады» Браташ — о матче КХЛ с «Трактором»: «Доволен самоотдачей игроков. Ребята заслужили очко»,https://matchtv.ru/hockey/matchtvnews_NI2124908_Trener_Lady_Bratash__o_matche_KKhL_s_Traktorom_Dovolen_samootdachej_igrokov_Rebata_zasluzhili_ochko
25 октября 20:50,Сергей Астахов,Гру похвалил вратарей «Трактора» и «Лады» после матча КХЛ,https://matchtv.ru/hockey/matchtvnews_NI2124905_Gru_pohvalil_vratarej_Traktora_i_Lady_posle_matcha_KKhL
25 октября 17:26,Автор не известен,«Гордость переполняет!» Тренер «Металлурга» Разин показал поздравительное письмо от Романа Ротенберга,https://matchtv.ru/hockey/matchtvnews_NI2124851_Gordost_perepolnajet_Trener_Metallurga_Razin_pokazal_pozdravitelnoje_pismo_ot_Romana_Rotenberga
25 октября 15:46,Автор не известен,«Ротенберг всегда хочет быть первым во всем. Это девиз СКА» — Анисин,https://matchtv.ru/hockey/matchtvnews_NI2124819_Rotenberg_vsegda_khochet_byt_pervym_vo_vsem_Eto_deviz_SKA__Anisin
25 октября 15:16,Автор не известен,Артюхин: «У московского «Динамо» есть проблемы с вратарской линией»,https://matchtv.ru/hockey/matchtvnews_NI2124805_Artuhin_U_moskovskogo_Dinamo_jest_problemy_s_vratarskoj_linijej
25 октября 14:26,Автор не известен,"«Бог увел от страшного, руки и ноги сами двигаются» — хоккеист Кузьмин о травме",https://matchtv.ru/hockey/matchtvnews_NI2124793_Bog_uvel_ot_strashnogo_ruki_i_nogi_sami_dvigajutsa__khokkeist_Kuzmin_o_travme
25 октября 13:40,Автор не известен,"Анисин: «Торпедо» играет похуже, чем в предыдущие сезоны КХЛ»",https://matchtv.ru/hockey/matchtvnews_NI2124778_Anisin_Torpedo_igrajet_pohuzhe_chem_v_predydushhije_sezony_KKhL
25 октября 13:11,Автор не известен,"Щитов о результатах «Авангарда»: «Все дело в Звягине. Возможно, он просто не может быть главным»",https://matchtv.ru/hockey/matchtvnews_NI2124768_Shhitov_o_rezultatah_Avangarda_Vse_delo_v_Zvagine_Vozmozhno_on_prosto_ne_mozhet_byt_glavnym
25 октября 12:15,Автор не известен,"«Спартак» — СКА: где смотреть прямую трансляцию матча КХЛ, 25 октября",https://matchtv.ru/hockey/matchtvnews_NI2124755_Spartak__SKA_gde_smotret_pramuju_translaciju_matcha_KKhL_25_oktabra
25 октября 12:11,Автор не известен,Каменев: «СКА не стоит ждать легкой прогулки в игре со «Спартаком»,https://matchtv.ru/hockey/matchtvnews_NI2124754_Kamenev_SKA_ne_stoit_zhdat_legkoj_progulki_v_igre_so_Spartakom
25 октября 11:41,Автор не известен,"«Видно, что хоккеисты московского «Динамо» постепенно прибавляют» — Щитов",https://matchtv.ru/hockey/matchtvnews_NI2124748_Vidno_chto_khokkeisty_moskovskogo_Dinamo_postepenno_pribavlajut__Shhitov
25 октября 10:44,Автор не известен,«Авангард» объявил о подписании контракта с Прохоркиным,https://matchtv.ru/hockey/matchtvnews_NI2124739_Avangard_objavil_o_podpisanii_kontrakta_s_Prohorkinym
25 октября 10:12,Автор не известен,Хоккеист «Спартака» Зайцев: «Игра против СКА станет для нас хорошей проверкой»,https://matchtv.ru/hockey/matchtvnews_NI2124731_Hokkeist_Spartaka_Zajcev_Igra_protiv_SKA_stanet_dla_nas_khoroshej_proverkoj
24 октября 21:42,Автор не известен,«Нефтехимик» обыграл «Сочи» и прервал пятиматчевую серию поражений в КХЛ,https://matchtv.ru/hockey/matchtvnews_NI2124675_Neftehimik_obygral_Sochi_i_prerval_patimatchevuju_seriju_porazhenij_v_KKhL
24 октября 21:10,Антон Собровин,"«Слышал много историй». Тренер «Салавата Юлаева» Козлов рассказал, почему не пробовал кумыс",https://matchtv.ru/hockey/matchtvnews_NI2124664_Slyshal_mnogo_istorij_Trener_Salavata_Julajeva_Kozlov_rasskazal_pochemu_ne_proboval_kumys
24 октября 20:58,Антон Собровин,"«Надеюсь, через две недели Игорь восстановится и будет в составе» — тренер «Торпедо» Ларионов рассказал о здоровье своего сына",https://matchtv.ru/hockey/matchtvnews_NI2124658_Nadejus_cherez_dve_nedeli_Igor_vosstanovitsa_i_budet_v_sostave__trener_Torpedo_Larionov_rasskazal_o_zdorovje_svojego_syna
24 октября 20:42,Антон Собровин,"Тренер «Салавата Юлаева» — о матче КХЛ с «Торпедо»: «Вырвали победу на последней минуте, как в голливудских фильмах»",https://matchtv.ru/hockey/matchtvnews_NI2124650_Trener_Salavata_Julajeva__o_matche_KKhL_s_Torpedo_Vyrvali_pobedu_na_poslednej_minute_kak_v_gollivudskih_filmah
24 октября 20:37,Антон Собровин,Тренер «Торпедо» Ларионов сравнил себя с режиссером Мартином Скорсезе,https://matchtv.ru/hockey/matchtvnews_NI2124647_Trener_Torpedo_Larionov_sravnil_seba_s_rezhisserom_Martinom_Skorseze
24 октября 20:22,Автор не известен,"Хоккеист «Металлурга» Михайлис: «Разговоры о контракте не давили на меня, потому что я каждый день отдаюсь игре»",https://matchtv.ru/hockey/matchtvnews_NI2124639_Hokkeist_Metallurga_Mihajlis_Razgovory_o_kontrakte_ne_davili_na_mena_potomu_chto_ja_kazhdyj_den_otdajus_igre
24 октября 20:22,Антон Собровин,«Мы не хотим ставить автобус». Тренер «Торпедо» Ларионов объяснил поражение от «Салавата Юлаева» в матче КХЛ,https://matchtv.ru/hockey/matchtvnews_NI2124640_My_ne_khotim_stavit_avtobus_Trener_Torpedo_Larionov_objasnil_porazhenije_ot_Salavata_Julajeva_v_matche_KKhL
24 октября 19:37,Автор не известен,«СКА и «Спартак» играют по бразильской системе. Увидим голевое пиршество» — экс‑хоккеист Бахмутов,https://matchtv.ru/hockey/matchtvnews_NI2124622_SKA_i_Spartak_igrajut_po_brazilskoj_sisteme_Uvidim_golevoje_pirshestvo__ekskhokkeist_Bahmutov
24 октября 19:34,Автор не известен,«Салават Юлаев» обыграл «Торпедо» в матче КХЛ,https://matchtv.ru/hockey/matchtvnews_NI2124599_Salavat_Julajev_obygral_Torpedo_v_matche_KKhL
24 октября 18:52,Автор не известен,«С каждой серией Кубка Гагарина «Металлург» становился все сильнее» — Михайлис о победе в плей‑офф КХЛ,https://matchtv.ru/hockey/matchtvnews_NI2124597_S_kazhdoj_serijej_Kubka_Gagarina_Metallurg_stanovilsa_vse_silneje__Mihajlis_o_pobede_v_plejoff_KKhL
24 октября 18:37,Автор не известен,"Двукратный обладатель Кубка Гагарина считает, что московскому «Динамо» не хватает стабильности в текущем сезоне КХЛ",https://matchtv.ru/hockey/matchtvnews_NI2124594_Dvukratnyj_obladatel_Kubka_Gagarina_schitajet_chto_moskovskomu_Dinamo_ne_khvatajet_stabilnosti_v_tekushhem_sezone_KKhL
24 октября 17:57,Автор не известен,"«Металлургу» нужно играть строже, увереннее и наглее» — Михайлис",https://matchtv.ru/hockey/matchtvnews_NI2124585_Metallurgu_nuzhno_igrat_strozhe_uverenneje_i_nagleje__Mihajlis
24 октября 16:06,Автор не известен,«Руководство «Авангарда» ищет виноватых в результатах» — Коньков,https://matchtv.ru/hockey/matchtvnews_NI2124556_Rukovodstvo_Avangarda_ishhet_vinovatyh_v_rezultatah__Konkov
24 октября 14:36,Автор не известен,"Тренер «Трактора» заявил, что игроки его команды входят в элиту мирового хоккея",https://matchtv.ru/hockey/matchtvnews_NI2124524_Trener_Traktora_zajavil_chto_igroki_jego_komandy_vkhodat_v_elitu_mirovogo_khokkeja
24 октября 11:41,Степан Карпухин,"Хоккеист ЦСКА Соркин о разгроме «Амура»: «Мы не вешали нос, для команды важно было выиграть»",https://matchtv.ru/hockey/matchtvnews_NI2124447_Hokkeist_CSKA_Sorkin_o_razgrome_Amura_My_ne_veshali_nos_dla_komandy_vazhno_bylo_vyigrat
24 октября 01:44,Автор не известен,"Роман Ротенберг: «За СКА играют хоккеисты мирового уровня, и Александр Никишин — яркое подтверждение этих слов»",https://matchtv.ru/hockey/matchtvnews_NI2124372_Roman_Rotenberg_Za_SKA_igrajut_khokkeisty_mirovogo_urovna_i_Aleksandr_Nikishin__jarkoje_podtverzhdenije_etih_slov
23 октября 23:42,Автор не известен,"Швейцарская национальная лига не намерена аннулировать контракт хоккеиста, который сбежал из «Сочи»",https://matchtv.ru/hockey/matchtvnews_NI2124361_Shvejcarskaja_nacionalnaja_liga_ne_namerena_annulirovat_kontrakt_khokkeista_kotoryj_sbezhal_iz_Sochi
23 октября 23:23,Павел Лысенков,"Михаил Кравец — о 0:8 со СКА: «Напихали нам полную кадушку. Позорное поражение, к сожалению»",https://matchtv.ru/hockey/matchtvnews_NI2124349_Mihail_Kravec__o_08_so_SKA_Napihali_nam_polnuju_kadushku_Pozornoje_porazhenije_k_sozhaleniju
23 октября 23:19,Павел Лысенков,Роман Ротенберг: «Кто сможет повторить покер Андрея Аршавина? Это исторический момент»,https://matchtv.ru/hockey/matchtvnews_NI2124348_Roman_Rotenberg_Kto_smozhet_povtorit_poker_Andreja_Arshavina_Eto_istoricheskij_moment
